timestamp,Ax,Ay,Az
0.0,0.0001808515,0.01076681,0.05556068
0.02,0.01013856,0.00657948,0.05512483
0.04,0.009275574,0.008928878,0.04840473
0.06,0.005065897,0.007488683,0.04977497
0.08,0.01081025,0.006140966,0.04301314
0.1,0.004045101,0.006944317,0.04472929
0.12,0.004757375,0.003552423,0.04371898
0.14,0.006213647,0.002537128,0.03537854
0.16,0.003306744,0.004084532,0.03118777
0.18,0.007571941,0.005118448,0.02356719
0.2,0.005407117,0.005892268,0.02100047
0.22,0.006221276,0.007249871,0.016147
0.24,0.006895028,0.009790774,0.0119325
0.26,0.00461026,0.007661138,0.01503767
0.28,0.007331333,0.00518936,0.01342049
0.3,0.005077667,0.006823079,0.01004153
0.32,0.005762556,0.005606931,0.005198976
0.34,0.006692748,0.004729647,0.004417609
0.36,0.005443238,0.004183207,0.005115478
0.38,0.008240952,0.0007066339,0.001132596
0.4,0.006506451,-0.0004544368,0.002293523
0.42,0.006531523,-0.0002410674,0.0009631305
0.44,0.007422441,-0.0005438688,-0.002421895
0.46,0.005771769,-0.0009499844,-0.002543873
0.48,0.006240187,-0.001421207,-0.005352179
0.5,0.004622982,-0.001361999,-0.006410035
0.52,0.004832962,-0.00232884,-0.007964334
0.54,0.005498746,-0.00393101,-0.01074676
0.56,0.004341186,-0.004676219,-0.01239215
0.58,0.005098018,-0.00135205,-0.01606806
0.6,0.004268742,0.002857771,-0.01952699
0.62,0.003045187,-0.0008045508,-0.02220555
0.64,0.003204192,-0.005447914,-0.02264173
0.66,0.0045204,-0.004810002,-0.02207232
0.68,0.005127211,-0.004869238,-0.02033109
0.7000000000000001,0.003549791,-0.004080336,-0.01490971
0.72,0.004234233,-0.0006791119,-0.01410745
0.74,0.00446867,0.001696425,-0.01509571
0.76,0.003572702,0.002687273,-0.01274282
0.78,0.005136278,0.003054424,-0.01528553
0.8,0.005379786,0.003114898,-0.02040135
0.8200000000000001,0.00440852,0.002052629,-0.02351049
0.84,0.002244039,0.001515292,-0.02482573
0.86,-0.001183598,0.00207083,-0.024356
0.88,-0.0006795342,-0.0006266231,-0.02528921
0.9,0.002281389,-0.004514772,-0.02351453
0.92,0.003653728,-0.005925923,-0.01848243
0.9400000000000001,0.002312639,-0.005062805,-0.01730019
0.96,-4.042194e-05,-0.002244477,-0.01922518
0.98,0.0005342254,-0.0007860878,-0.02209267
1.0,0.002963263,-0.001218282,-0.02442541
1.02,0.004399468,-0.001676407,-0.02855689
1.04,0.002702339,-0.002273432,-0.03300622
1.06,0.000345231,-0.004803613,-0.02600015
1.08,0.002916911,-0.008823154,-0.0178653
1.1,0.004978556,-0.008774635,-0.02302448
1.12,0.00344687,-0.007305396,-0.02613965
1.1400000000000001,0.004378151,-0.00822922,-0.02246608
1.16,0.00500617,-0.008141506,-0.02384026
1.18,0.001996795,-0.007250328,-0.02596191
1.2,-0.0004718596,-0.005531581,-0.025649
1.22,-0.0007555679,-0.004444861,-0.02645046
1.24,-0.00152817,-0.003666564,-0.02601143
1.26,-0.002391153,-0.002290946,-0.02651972
1.28,0.001093752,-0.004687588,-0.02685954
1.3,0.004550077,-0.007487894,-0.02509841
1.32,0.002879173,-0.008429991,-0.02597534
1.34,0.002247428,-0.007257599,-0.02619276
1.36,0.003304683,-0.004190853,-0.02584064
1.3800000000000001,0.002415886,-0.005425981,-0.02632141
1.4000000000000001,0.001618559,-0.004753452,-0.02472722
1.42,0.0009813523,-0.0001927498,-0.02471338
1.44,8.88533e-06,0.0004452348,-0.02340456
1.46,-0.0003627647,-0.0004410139,-0.01992557
1.48,-0.0004870227,-0.001514938,-0.01898631
1.5,-0.0003559582,-0.002419472,-0.01853955
1.52,-0.0002291606,-0.00654884,-0.01844216
1.54,-0.0001311498,-0.01261049,-0.01773727
1.56,-0.000441148,-0.008526039,-0.01743881
1.58,-0.001565163,-0.001836966,-0.01881304
1.6,-0.0009294028,-0.001594163,-0.01693978
1.62,8.719952e-06,-0.0008662852,-0.01448156
1.6400000000000001,-0.001236221,-0.0001725971,-0.01627775
1.6600000000000001,-0.0009112467,-0.0004302846,-0.01730822
1.68,-0.0004350345,-0.000612202,-0.01458218
1.7,-0.001176794,-0.002986203,-0.01445833
1.72,0.0001646136,-0.004768586,-0.01507422
1.74,0.000750828,-0.003324209,-0.01201679
1.76,0.0003886628,-0.001192537,-0.01171715
1.78,0.001327517,-0.002341803,-0.01142364
1.8,0.002052525,-0.006116693,-0.009459552
1.82,0.002737531,-0.009001041,-0.009971836
1.84,0.002742893,-0.009958193,-0.01041719
1.86,0.001330037,-0.008580468,-0.01438429
1.8800000000000001,-0.0003669915,-0.006259511,-0.01968247
1.9000000000000001,-0.0007216569,-0.002305442,-0.01958932
1.92,-0.001903602,0.001958977,-0.01587042
1.94,-0.004294253,0.0003222457,-0.01274419
1.96,-2.508177e-05,-0.004128232,-0.01373885
1.98,0.005250842,-0.006242957,-0.013018
2.0,0.002489833,-0.004297268,-0.009259257
2.02,0.0008106328,0.0004152381,-0.00753524
2.04,0.001166027,0.0003754066,-0.00754386
2.06,-0.0006930307,-0.001618403,-0.01017443
2.08,-7.724243e-05,-0.001817927,-0.01093676
2.1,0.0005036869,-0.003620557,-0.0069656
2.12,-0.000494603,-0.005030822,-0.002073686
2.14,0.0001562458,-0.006879768,-0.0003726777
2.16,6.459274e-05,-0.007551414,-0.003797477
2.18,-0.0003200566,-0.007095538,-0.005405762
2.2,0.000185352,-0.009193416,-0.003975261
2.22,-0.0003749041,-0.005811485,-0.004314681
2.24,-0.001012818,-0.001100333,-0.004936361
2.2600000000000002,-0.00161137,-0.003513449,-0.004429086
2.2800000000000002,-0.00176494,-0.003724755,-0.003492312
2.3000000000000003,-0.0006357269,-0.002230556,-0.003647089
2.32,0.001047456,-0.003286977,-0.002951549
2.34,0.003018694,-0.002275556,-0.0007014659
2.36,0.001412165,0.0001717125,0.0003388346
2.38,-0.00150914,0.00175554,-0.0008417306
2.4,6.024601e-05,-7.590393e-05,-0.005925807
2.42,0.0004354225,-0.004052565,-0.01006841
2.44,-0.0008185338,-0.00429535,-0.008023282
2.46,0.0002276555,-0.002928965,-0.003412107
2.48,-0.0002998938,-0.002023084,0.0003589624
2.5,-0.001147484,0.0001714439,0.002647864
2.52,-0.0002222655,0.001574181,0.002381057
2.54,0.0015755,0.003070189,-0.002269757
0.0,0.001093752,-0.004687588,-0.02685954
0.02,0.004550077,-0.007487894,-0.02509841
0.04,0.002879173,-0.008429991,-0.02597534
0.06,0.002247428,-0.007257599,-0.02619276
0.08,0.003304683,-0.004190853,-0.02584064
0.1,0.002415886,-0.005425981,-0.02632141
0.12,0.001618559,-0.004753452,-0.02472722
0.14,0.0009813523,-0.0001927498,-0.02471338
0.16,8.88533e-06,0.0004452348,-0.02340456
0.18,-0.0003627647,-0.0004410139,-0.01992557
0.2,-0.0004870227,-0.001514938,-0.01898631
0.22,-0.0003559582,-0.002419472,-0.01853955
0.24,-0.0002291606,-0.00654884,-0.01844216
0.26,-0.0001311498,-0.01261049,-0.01773727
0.28,-0.000441148,-0.008526039,-0.01743881
0.3,-0.001565163,-0.001836966,-0.01881304
0.32,-0.0009294028,-0.001594163,-0.01693978
0.34,8.719952e-06,-0.0008662852,-0.01448156
0.36,-0.001236221,-0.0001725971,-0.01627775
0.38,-0.0009112467,-0.0004302846,-0.01730822
0.4,-0.0004350345,-0.000612202,-0.01458218
0.42,-0.001176794,-0.002986203,-0.01445833
0.44,0.0001646136,-0.004768586,-0.01507422
0.46,0.000750828,-0.003324209,-0.01201679
0.48,0.0003886628,-0.001192537,-0.01171715
0.5,0.001327517,-0.002341803,-0.01142364
0.52,0.002052525,-0.006116693,-0.009459552
0.54,0.002737531,-0.009001041,-0.009971836
0.56,0.002742893,-0.009958193,-0.01041719
0.58,0.001330037,-0.008580468,-0.01438429
0.6,-0.0003669915,-0.006259511,-0.01968247
